Date,Day,Month,River,Gen_Dam,Wind,Rainfall,Rank_Dam,New_Rainfall
1/1/2013,1,January,"Sungai Galas, Dabong",40,19,5,4,0
1/2/2013,2,January,"Sungai Galas, Dabong",40,12,5,4,0
1/3/2013,3,January,"Sungai Galas, Dabong",40,14,5,4,2
1/4/2013,4,January,"Sungai Galas, Dabong",40,10,5,4,2
1/5/2013,5,January,"Sungai Galas, Dabong",40,10,5,4,2
1/6/2013,6,January,"Sungai Galas, Dabong",40,10,5,4,1
1/7/2013,7,January,"Sungai Galas, Dabong",40,17,5,4,3
1/8/2013,8,January,"Sungai Galas, Dabong",40,18,5,4,0
1/9/2013,9,January,"Sungai Galas, Dabong",39,16,5,4,0
1/10/2013,10,January,"Sungai Galas, Dabong",39,17,5,4,1
1/11/2013,11,January,"Sungai Galas, Dabong",39,8,5,4,0
1/12/2013,12,January,"Sungai Galas, Dabong",39,12,5,4,2
1/13/2013,13,January,"Sungai Galas, Dabong",39,14,5,4,1
1/14/2013,14,January,"Sungai Galas, Dabong",39,16,5,4,0
1/15/2013,15,January,"Sungai Galas, Dabong",39,17,5,4,4
1/16/2013,16,January,"Sungai Galas, Dabong",39,11,5,4,3
1/17/2013,17,January,"Sungai Galas, Dabong",39,8,5,4,3
1/18/2013,18,January,"Sungai Galas, Dabong",39,5,5,4,1
1/19/2013,19,January,"Sungai Galas, Dabong",39,16,5,4,1
1/20/2013,20,January,"Sungai Galas, Dabong",39,21,5,4,1
1/21/2013,21,January,"Sungai Galas, Dabong",39,7,5,4,2
1/22/2013,22,January,"Sungai Galas, Dabong",39,20,5,4,0
1/23/2013,23,January,"Sungai Galas, Dabong",39,2,5,4,2
1/24/2013,24,January,"Sungai Galas, Dabong",38,11,5,4,4
1/25/2013,25,January,"Sungai Galas, Dabong",38,6,5,4,0
1/26/2013,26,January,"Sungai Galas, Dabong",38,17,5,4,0
1/27/2013,27,January,"Sungai Galas, Dabong",38,4,5,4,1
1/28/2013,28,January,"Sungai Galas, Dabong",38,2,5,4,1
1/29/2013,29,January,"Sungai Galas, Dabong",38,14,5,4,0
1/30/2013,30,January,"Sungai Galas, Dabong",38,10,5,4,2
1/31/2013,31,January,"Sungai Galas, Dabong",38,10,5,4,0
2/1/2013,1,February,"Sungai Galas, Dabong",38,1,5,4,0
2/2/2013,2,February,"Sungai Galas, Dabong",38,8,5,4,3
2/3/2013,3,February,"Sungai Galas, Dabong",38,19,5,4,1
2/4/2013,4,February,"Sungai Galas, Dabong",38,4,5,4,0
2/5/2013,5,February,"Sungai Galas, Dabong",38,15,5,4,1
2/6/2013,6,February,"Sungai Galas, Dabong",38,13,5,4,1
2/7/2013,7,February,"Sungai Galas, Dabong",37,15,5,3,3
2/8/2013,8,February,"Sungai Galas, Dabong",37,4,5,3,1
2/9/2013,9,February,"Sungai Galas, Dabong",37,1,5,3,1
2/10/2013,10,February,"Sungai Galas, Dabong",37,15,5,3,1
2/11/2013,11,February,"Sungai Galas, Dabong",37,2,5,3,1
2/12/2013,12,February,"Sungai Galas, Dabong",36,21,5,3,3
2/13/2013,13,February,"Sungai Galas, Dabong",36,9,5,3,1
2/14/2013,14,February,"Sungai Galas, Dabong",36,7,4,3,3
2/15/2013,15,February,"Sungai Galas, Dabong",36,20,4,3,1
2/16/2013,16,February,"Sungai Galas, Dabong",36,12,4,3,1
2/17/2013,17,February,"Sungai Galas, Dabong",36,18,4,3,0
2/18/2013,18,February,"Sungai Galas, Dabong",36,9,4,3,0
2/19/2013,19,February,"Sungai Galas, Dabong",36,12,4,3,2
2/20/2013,20,February,"Sungai Galas, Dabong",36,0,4,3,2
2/21/2013,21,February,"Sungai Galas, Dabong",36,1,4,3,2
2/22/2013,22,February,"Sungai Galas, Dabong",36,7,4,3,3
2/23/2013,23,February,"Sungai Galas, Dabong",36,16,4,3,1
2/24/2013,24,February,"Sungai Galas, Dabong",36,8,4,3,0
2/25/2013,25,February,"Sungai Galas, Dabong",36,4,4,3,2
2/26/2013,26,February,"Sungai Galas, Dabong",36,20,4,3,3
2/27/2013,27,February,"Sungai Galas, Dabong",35,2,4,3,6
2/28/2013,28,February,"Sungai Galas, Dabong",35,8,4,3,4
3/1/2013,1,March,"Sungai Galas, Dabong",35,20,4,3,0
3/2/2013,2,March,"Sungai Galas, Dabong",35,11,4,3,1
3/3/2013,3,March,"Sungai Galas, Dabong",35,12,4,3,0
3/4/2013,4,March,"Sungai Galas, Dabong",35,11,4,3,2
3/5/2013,5,March,"Sungai Galas, Dabong",35,15,4,3,0
3/6/2013,6,March,"Sungai Galas, Dabong",35,1,4,3,0
3/7/2013,7,March,"Sungai Galas, Dabong",35,5,4,3,2
3/8/2013,8,March,"Sungai Galas, Dabong",35,6,4,3,4
3/9/2013,9,March,"Sungai Galas, Dabong",35,0,4,3,0
3/10/2013,10,March,"Sungai Galas, Dabong",35,13,3,3,2
3/11/2013,11,March,"Sungai Galas, Dabong",35,12,3,3,2
3/12/2013,12,March,"Sungai Galas, Dabong",35,6,3,3,0
3/13/2013,13,March,"Sungai Galas, Dabong",35,20,3,3,2
3/14/2013,14,March,"Sungai Galas, Dabong",34,0,3,2,2
3/15/2013,15,March,"Sungai Galas, Dabong",34,18,3,2,2
3/16/2013,16,March,"Sungai Galas, Dabong",34,16,3,2,1
3/17/2013,17,March,"Sungai Galas, Dabong",34,21,3,2,0
3/18/2013,18,March,"Sungai Galas, Dabong",34,3,3,2,0
3/19/2013,19,March,"Sungai Galas, Dabong",34,19,3,2,3
3/20/2013,20,March,"Sungai Galas, Dabong",34,14,3,2,3
3/21/2013,21,March,"Sungai Galas, Dabong",34,19,3,2,0
3/22/2013,22,March,"Sungai Galas, Dabong",34,21,3,2,0
3/23/2013,23,March,"Sungai Galas, Dabong",34,17,3,2,1
3/24/2013,24,March,"Sungai Galas, Dabong",34,18,3,2,2
3/25/2013,25,March,"Sungai Galas, Dabong",34,7,3,2,2
3/26/2013,26,March,"Sungai Galas, Dabong",34,3,3,2,0
3/27/2013,27,March,"Sungai Galas, Dabong",34,12,3,2,4
3/28/2013,28,March,"Sungai Galas, Dabong",34,7,3,2,0
3/29/2013,29,March,"Sungai Galas, Dabong",34,3,3,2,2
3/30/2013,30,March,"Sungai Galas, Dabong",34,19,3,2,0
3/31/2013,31,March,"Sungai Galas, Dabong",33,15,3,2,0
4/1/2013,1,April,"Sungai Galas, Dabong",33,18,3,2,0
