Year,Month,Station,Rainfall,Dam,Wind
2013,1,Alor Setar,4,56,1.7
2013,1,Alor Setar,4,61,0.8
2013,1,Alor Setar,1,61,2.4
2013,1,Alor Setar,1,51,1.6
2013,1,Alor Setar,1,54,1.4
2013,1,Alor Setar,1,48,1.1
2013,1,Alor Setar,1,30,1
2013,1,Alor Setar,2,36,1.2
2013,1,Alor Setar,2,53,1.1
2013,1,Alor Setar,1,25,1.5
2013,1,Alor Setar,1,35,1.3
2013,1,Alor Setar,1,53,1.5
2013,1,Alor Setar,1,66,1.6
2013,1,Alor Setar,1,40,1.4
2013,1,Alor Setar,1,53,2.2
2013,1,Alor Setar,1,41,2.8
2013,1,Alor Setar,1,66,2.9
2013,1,Alor Setar,1,66,2.7
2013,1,Alor Setar,1,49,2.7
2013,1,Alor Setar,1,56,2.5
2013,1,Alor Setar,1,61,2.6
2013,1,Alor Setar,1,55,1.2
2013,1,Alor Setar,1,79,1.4
2013,1,Alor Setar,1,72,2
2013,1,Alor Setar,1,51,1.7
2013,1,Alor Setar,1,57,1.7
2013,1,Alor Setar,1,65,2.6
2013,1,Alor Setar,1,35,2.5
2013,1,Alor Setar,1,72,2.7
2013,1,Alor Setar,4,32,2.3
2013,2,Alor Setar,1,63,3
2013,2,Alor Setar,1,45,3.1
2013,2,Alor Setar,2,56,2.3
2013,2,Alor Setar,1,87,2.5
2013,2,Alor Setar,1,63,2.3
2013,2,Alor Setar,1,40,2.3
2013,2,Alor Setar,4,78,1.1
2013,2,Alor Setar,1,72,1.2
2013,2,Alor Setar,1,58,2.5
2013,2,Alor Setar,1,59,3.1
2013,2,Alor Setar,1,62,3.1
2013,2,Alor Setar,3,60,2.1
2013,2,Alor Setar,1,50,2.5
2013,2,Alor Setar,1,22,2.4
2013,2,Alor Setar,4,48,1.5
2013,2,Alor Setar,1,61,2.7
2013,2,Alor Setar,4,54,1.5
2013,2,Alor Setar,1,70,2
2013,2,Alor Setar,1,65,1.9
2013,2,Alor Setar,1,50,2
2013,2,Alor Setar,1,62,2.3
2013,2,Alor Setar,1,43,1.6
2013,2,Alor Setar,3,56,2.2
2013,2,Alor Setar,4,55,1.2
2013,2,Alor Setar,4,44,1.5
2013,2,Alor Setar,5,51,1.6
2013,2,Alor Setar,3,33,1.5
2013,2,Alor Setar,4,60,1.6
2013,3,Alor Setar,4,80,1.4
2013,3,Alor Setar,1,74,1.3
2013,3,Alor Setar,1,55,1.5
2013,3,Alor Setar,1,46,2.8
2013,3,Alor Setar,1,69,3.1
2013,3,Alor Setar,1,73,2.7
2013,3,Alor Setar,1,57,1.9
2013,3,Alor Setar,1,72,2.3
2013,3,Alor Setar,1,59,1.4
2013,3,Alor Setar,1,51,1.6
2013,3,Alor Setar,1,37,1.6
2013,3,Alor Setar,1,54,1.9
2013,3,Alor Setar,1,55,2
2013,3,Alor Setar,1,48,2
2013,3,Alor Setar,4,64,1.7
2013,3,Alor Setar,5,60,1.5
2013,3,Alor Setar,1,79,1.9
2013,3,Alor Setar,1,68,1.7
2013,3,Alor Setar,1,44,1.9
2013,3,Alor Setar,1,34,1.7
2013,3,Alor Setar,4,57,1.6
2013,3,Alor Setar,3,57,1.5
2013,3,Alor Setar,1,49,1.6
2013,3,Alor Setar,1,59,1.7
2013,3,Alor Setar,1,51,1.8
2013,3,Alor Setar,1,51,1.8
2013,3,Alor Setar,4,50,1.5
2013,3,Alor Setar,1,35,1.7
2013,3,Alor Setar,1,43,1.8
2013,3,Alor Setar,1,51,2
2013,3,Alor Setar,1,52,1.8
2013,4,Alor Setar,4,63,1.9
